date,ETSAAN_mean,ETSAAN_lower,ETSAAN_upper,ARIMA_mean,ARIMA_lower,ARIMA_upper,SARIMA-ARweekly_mean,SARIMA-ARweekly_lower,SARIMA-ARweekly_upper,GP-RBF_mean,GP-RBF_lower,GP-RBF_upper,GP-Periodic_mean,GP-Periodic_lower,GP-Periodic_upper,GP-Matern32_mean,GP-Matern32_lower,GP-Matern32_upper
2026-07-03,2715.5674142280895,1085.642019851061,6790.32444837481,2352.521439264996,28.360827792148445,188653.87050611072,2418.5170218240037,27.047204704294995,208720.78459907766,2019.9620186657621,824.9302415382467,4944.0755953467,558.0976741793789,308.57341690935635,1008.7449981124118,1889.0403165032487,741.819420908944,4808.04550615619
2026-07-04,2731.287793872964,1091.930258825239,6829.624853018105,2357.129571519932,26.42538097551903,202759.1760952947,2423.4629134645106,25.169839266262727,224609.48992160082,2014.3383437147588,810.0230251826863,5006.981911157274,581.9604166722567,321.78694711910714,1051.839498126578,1877.687093050689,727.6004772935875,4843.170850265667
2026-07-05,2747.0991450633546,1098.2548869217528,6869.152683374435,2361.862589150237,24.646656331606135,217692.86008909476,2428.3168397866516,23.444131099391093,241430.3801572604,2008.3247416548732,794.9873623349653,5071.173389264722,572.3342737195057,316.4673523348388,1034.420451910829,1866.2605644529542,713.5807713189217,4878.311276632501
2026-07-06,2763.0019942383406,1104.6161147191508,6908.909255523263,2366.5958916505174,23.008124822257816,233482.88712822617,2433.220751109141,21.856724221901363,259241.33969855536,2001.911841263133,779.8486945281187,5136.558494986521,556.0792322911394,307.46706061967285,1005.0629177930878,1854.7692293851867,699.7692580153079,4913.427100421778
2026-07-07,2778.996870883416,1111.014154014565,6948.8958931599755,2371.2513950612465,21.495781450613322,250160.4222081892,2438.190870636426,20.394490908151937,278091.7169026068,1995.0913165647155,764.6321750888865,5203.040103986605,564.6750900978518,312.2262998513753,1020.5882501215447,1843.2212802636734,686.1736017657759,4948.480192250852
2026-07-08,2795.084307548138,1117.4492178307698,6989.113927640027,2375.82712373665,20.09796918712652,267764.44822983764,2443.1987408922023,19.045399740634757,298027.85261842405,1987.8559292083032,749.362541226063,5270.515687182109,557.8578410365909,308.44127803996986,1008.3097096365325,1831.62460840422,672.8002708323369,4983.433964652448
2026-07-09,2811.2648398638494,1123.9215204232698,7029.564698023221,2380.373523040119,18.804740071308174,286341.55414703494,2448.197014512529,17.79864183895319,319094.71272682527,1980.1995659282677,734.063997949861,5338.877522204662,548.2240950257334,303.1063978590529,990.9130563528727,1819.986809410974,659.6546284683513,5018.25335441378
2026-07-10,2827.539006561514,1130.4312772874366,7070.249551118304,2384.9463295744004,17.607190350314866,305942.0134498098,2453.1818160554303,16.644945989499153,341343.67681802704,1972.1172708077747,718.7601139010853,5408.012932460095,558.0976741792488,308.57341690928433,1008.7449981121769,1808.3151887665267,646.7410202195284,5052.904801631641
2026-07-11,2843.907349489646,1136.9787051656785,7111.169841527808,2389.572656241926,16.49708154596552,326615.6194492767,2458.1567061401,15.57607865889619,364829.05599808914,1963.6052720920327,703.4737290091581,5477.80455465733,581.9604166721655,321.78694711905666,1051.8394981264134,1796.616767596503,634.0628571397887,5087.356226181888
2026-07-12,2860.37041363237,1143.5640220546652,7152.326931693166,2394.2446943951536,15.466760683450527,348409.79288861924,2463.1572372452815,14.584862222664691,389612.3827245409,1954.6610033383777,688.2268737638715,5548.130635449915,572.3342737194864,316.46735233482866,1034.420451910792,1784.8982885826676,621.6226947504488,5121.577002177614
2026-07-13,2876.9287471275416,1150.1874472125767,7193.722191940024,2398.935857334238,14.509240646199107,371370.63905765896,2468.1876722668467,13.664635147436483,415753.4800519887,1945.2831187315219,673.0406997761091,5618.865357563037,556.0792322912414,307.46706061972924,1005.0629177932718,1773.166222000993,609.4223076560086,5155.537930889454
2026-07-14,2893.5829012850195,1156.8492011664114,7235.357000523936,2403.622648740532,13.61827568780286,395545.65723403165,2473.227767713666,12.809266374839181,443310.24336043105,1935.4715024351983,657.9354212142889,5689.879195465411,564.6750900978609,312.2262998513803,1020.588250121561,1761.4267718620101,597.4627597982944,5189.211212511932
2026-07-15,2910.3334306050115,1163.5495057193255,7277.232743676213,2408.2972080878603,12.78834186345682,420986.0261691264,2478.270945864366,12.013319335132232,472344.622566306,1925.227271897579,642.9302666344104,5761.039300302882,557.8578410366604,308.44127804000834,1008.309709636658,1749.6858821325318,585.7444703859271,5222.570417088453
2026-07-16,2927.1808927965294,1170.2885839580142,7319.350815650083,2412.966663528006,12.014534030050752,447747.2666048102,2483.3178057368295,11.27192611833233,502922.08643231675,1914.552775074051,628.0434406689831,5832.2099134386945,548.2240950256612,303.1063978590132,990.9130563527414,1737.9492430191658,574.2672755796515,5255.590454845426
2026-07-17,2944.1258487959744,1177.0666602601466,7361.712618767112,2417.6440225460387,11.292436018217668,475888.31104689837,2488.3726275404515,10.58070072917239,535111.3583685345,1903.451581579192,613.2920950023431,5903.252807559979,558.097674179233,308.5734169092753,1008.7449981121491,1726.2222972955892,563.0304860478072,5288.2475461374115
2026-07-18,2961.1688627858043,1183.883960301832,7404.319563463911,2422.338649215111,10.618016942366468,505469.96272210614,2493.4433977482936,9.935683207917862,568984.7456793276,1891.9284678278032,598.6923080342647,5974.027753913058,581.9604166721292,321.7869471190366,1051.839498126348,1714.510246656291,552.0329405315387,5320.5191911609
2026-07-19,2978.3105022133104,1190.7407110651318,7447.173068339043,2427.0520619567606,9.98757474579129,536553.8769377586,2498.5290213217545,9.333238110819451,604615.4098249187,1879.989396272171,584.2590726183851,6044.393013830916,572.3342737195261,316.46735233485003,1034.4204519108657,1702.8180580816988,541.2730555781643,5352.384139564436
2026-07-20,2995.5513378095275,1197.6371408456228,7490.274560200334,2431.779672829792,9.397715586648538,569202.5800761401,2503.623394291301,8.770042956785796,642077.8910528034,1867.6414888901052,570.0062912556331,6114.20585232603,556.0792322911553,307.4670606196813,1005.0629177931172,1691.1504701995714,530.7488716136105,5383.822360050567
2026-07-21,3012.891943608224,1204.5734792599928,7533.625474112324,2436.515500954715,8.845345353292497,603480.3004713497,2508.725708800867,8.243096749176356,681450.6070036043,1854.8929951230161,555.9467781234023,6183.323071141854,564.6750900979935,312.22629985145403,1020.5882501217997,1679.5119996300473,520.4580955333557,5414.815010047976
2026-07-22,3030.3328969650197,1211.5499572536899,7577.227253444064,2441.256128916734,8.3276547751431,639453.9480032454,2513.8369339430164,7.749670884655737,722815.3079156491,1841.753254506915,542.0922673279607,6251.601558300632,557.8578410366226,308.4412780399874,1008.3097096365898,1667.9069473013515,510.3981399951948,5445.344405509354
2026-07-23,3047.8747785766104,1218.5668071086097,7621.081349917184,2446.0018376831144,7.842092844877424,677193.6527448556,2518.9590990011175,7.287278046855487,766257.0915875059,1828.2326542796688,528.4534267791453,6318.898850855529,548.2240950256456,303.1063978590043,990.9130563527141,1656.3394047256288,500.5661595988058,5475.393990881285
2026-07-24,3065.518172500084,1225.624262450825,7665.189223654174,2450.7552193500137,7.38633402963362,716772.6980627566,2524.093143823528,6.85364084620191,811863.9056976063,1814.3425822853267,515.039877101885,6385.073707260636,558.0976741794157,308.5734169093767,1008.7449981124782,1644.813260224195,490.95908413551456,5504.9483092778
2026-07-25,3083.263666172398,1232.7225582583733,7709.552343227083,2455.518911420602,6.958247575088579,758267.086689914,2529.2385488287473,6.446670711873765,859726.4354794287,1800.0953755305525,501.8602150179483,6449.986685518077,581.9604166720878,321.7869471190137,1051.8394981262732,1633.3322050930935,481.57364908871097,5533.992972882858
2026-07-26,3101.111850429917,1239.8619308690747,7754.172185706357,2460.2940594270162,6.555874092958796,801755.1399833341,2534.3936933818118,6.064451314350523,909938.2004276619,1785.504264778145,488.9220406526079,6513.500723051948,572.3342737194731,316.46735233482104,1034.420451910769,1621.899739700469,472.4064235606526,5562.514633599834
2026-07-27,3119.0633195280884,1247.0426179884016,7799.0502367100335,2465.0801605012757,6.177409670729295,847317.4111002615,2539.5585354351724,5.70522963763772,962596.5575456107,1770.5833155887,476.231988244367,6575.481714099132,556.0792322911632,307.467060619686,1005.0629177931306,1610.5191795081535,463.45383579568255,5590.500953961489
2026-07-28,3137.1186711612295,1254.264858697393,7844.187990453206,2469.8759157619866,5.8211944702649765,895036.9318030896,2544.733815639524,5.367397810270042,1017802.638660314,1755.3473662428419,463.79575976087347,6635.79908029971,564.6750900979131,312.22629985140924,1020.5882501216554,1599.1936610105806,454.7121964632745,5617.94057831038
2026-07-29,3155.278506482433,1261.5288934606174,7889.5869497977865,2474.6802611639037,5.485702437704734,944999.6093226809,2549.919930611463,5.049476582944152,1075661.0681427415,1739.8119629933344,451.6181609503815,6694.326330118066,557.8578410365144,308.4412780399275,1008.3097096363944,1587.9261475851094,446.1777198573096,5644.823104257657
2026-07-30,3173.543430123561,1268.8349641341701,7935.248626302486,2479.4929180010004,5.169530317469179,997294.5475769659,2555.1169860031123,4.75010377871099,1136280.0651042385,1723.9932931084252,439.7031393852033,6750.941602730856,548.2240950255851,303.10639785897104,990.9130563526039,1576.719435248059,437.84654316034624,5671.139054425565
2026-07-31,3191.914050215408,1276.1833139737391,7981.174540273231,2484.3143028836475,4.871386029530674,1052014.1720652184,2560.3247369937358,4.4680236587936,1199771.4987502052,1707.9081161750678,428.0538240812864,6805.528192080018,558.0976741792637,308.5734169092926,1008.7449981122038,1565.5761583118845,429.7147439141422,5696.879848479089
2026-08-01,3210.3909784079283,1283.5741876426953,8027.366220813719,2489.1450641995657,4.59007747017814,1109254.1890090108,2565.542822195872,4.202077983310998,1266251.078361309,1691.57369413315,416.6725663060488,6857.975046908771,581.9604166722141,321.7869471190836,1051.8394981265014,1554.4987949393606,421.7783558298978,5722.037775451552
